index,true_label,pred_label,anomaly_score
0,1,1,154.55963260569342
1,0,0,151.99371832332244
2,0,0,153.61127025304705
3,0,0,153.01733697895767
4,1,1,154.5596699798667
5,1,1,154.55785132903387
6,0,0,152.19917498598792
7,1,1,154.61307809784435
8,0,0,152.19917498598792
9,1,1,154.5596867405247
10,1,1,154.5596867405247
11,0,0,153.65617223608777
12,0,0,153.86517158004463
13,1,1,154.61485937450394
14,0,0,154.04395685393948
15,0,0,152.07085326592747
16,1,1,154.61485937450394
17,0,0,153.86396521666833
18,1,1,154.07461576998293
19,1,1,154.61307809784435
20,1,1,154.61485937450394
21,0,0,151.99371832332244
22,1,1,154.55785132903387
23,0,0,153.65617223608777
24,0,0,153.41664294150618
25,1,0,153.8188325983484
26,1,1,154.55785132903387
27,1,1,154.55785132903387
28,1,1,154.55785132903387
29,0,0,151.99371832332244
30,0,0,153.62209960417164
31,0,0,152.27630992859295
32,0,0,153.67438550777982
33,0,0,152.27630992859295
34,1,1,154.61307809784435
35,1,0,153.62209960417164
36,0,0,151.99371832332244
37,1,1,154.55785132903387
38,1,1,154.55785132903387
39,1,1,154.55785132903387
40,1,1,154.55785132903387
41,1,1,154.55785132903387
42,1,1,154.55785132903387
43,0,0,152.27630992859295
44,1,1,154.61485937450394
45,1,1,154.55785132903387
46,1,1,154.55961324578806
47,1,1,154.55965240692055
48,1,1,154.55963260569342
49,1,1,154.61485937450394
50,0,0,153.41664294150618
51,1,1,154.55785132903387
52,1,1,154.61307809784435
53,1,1,154.61307809784435
54,0,0,153.4183308101802
55,1,1,154.61307809784435
56,0,0,151.99371832332244
57,1,1,154.61307809784435
58,1,1,154.61307809784435
59,0,0,152.27630992859295
60,0,0,152.27630992859295
61,1,1,154.61307809784435
62,1,1,154.61307809784435
63,0,0,154.04520070652066
64,0,0,151.99371832332244
65,0,0,151.99371832332244
66,1,1,154.61307809784435
67,1,1,154.55785132903387
68,1,1,154.55963260569342
69,0,0,153.62581633209825
70,1,1,154.55963260569342
71,0,0,152.19917498598792
72,1,1,154.55785132903387
73,1,1,154.55785132903387
74,1,1,154.61307809784435
75,1,1,154.55785132903387
76,0,0,153.41960530752743
77,1,1,154.55785132903387
78,1,1,154.61307809784435
79,0,0,153.4183308101802
80,1,1,154.61307809784435
81,1,1,154.61307809784435
82,0,0,152.19917498598792
83,1,1,154.61307809784435
84,0,0,153.8404418887978
85,1,1,154.55785132903387
86,1,1,154.55785132903387
87,1,1,154.55785132903387
88,1,1,154.61487917573103
89,1,1,154.6149135093352
90,1,0,153.81682427866915
91,0,0,152.19917498598792
92,1,1,154.6148967486772
93,1,1,154.61307809784435
94,1,0,153.6120012310504
95,0,0,152.94020203635264
96,0,0,152.07085326592747
97,1,1,154.61307809784435
98,1,1,154.55963260569342
99,1,1,154.55785132903387
100,1,1,154.55963260569342
101,1,1,154.61307809784435
102,0,0,151.99371832332244
103,1,1,154.61307809784435
104,1,1,154.55785132903387
105,1,1,154.55785132903387
106,1,1,154.55785132903387
107,1,1,154.61484001459857
108,1,1,154.55785132903387
109,1,1,154.55785132903387
110,1,1,154.5596699798667
111,1,1,154.55963260569342
112,1,1,154.55785132903387
113,0,0,152.19917498598792
114,0,0,153.83840304938582
115,1,1,154.55961324578806
116,1,1,154.61485937450394
117,1,1,154.55785132903387
118,1,1,154.61484001459857
119,1,1,154.61307809784435
120,1,1,154.5596867405247
121,1,1,154.61307809784435
122,0,0,151.99371832332244
123,1,1,154.61307809784435
124,0,0,153.84998601884863
125,0,0,151.99371832332244
126,1,1,154.61307809784435
127,0,0,154.0466685776104
128,0,0,151.99371832332244
129,0,0,153.4199669599793
130,1,1,154.61307809784435
131,1,1,154.61485937450394
132,1,1,154.55963260569342
133,1,1,154.55785132903387
134,0,0,152.19917498598792
135,0,0,152.07085326592747
136,1,1,154.55785132903387
137,1,1,154.55961324578806
138,0,0,153.62378747284566
139,0,0,151.99371832332244
140,0,0,152.19917498598792
141,1,1,154.61307809784435
142,1,1,154.55785132903387
143,0,0,152.20098217884683
144,0,0,151.99371832332244
145,0,0,152.27630992859295
146,1,1,154.5596510373076
147,1,1,154.61307809784435
148,1,1,154.55785132903387
149,1,1,154.55785132903387
150,0,0,152.27630992859295
151,1,1,154.55785132903387
152,1,1,154.55785132903387
153,0,0,153.84233979288175
154,0,0,153.8723289693492
155,1,1,154.61307809784435
156,1,1,154.61307809784435
157,0,0,152.19917498598792
158,1,1,154.55785132903387
159,1,1,154.55785132903387
160,0,0,154.05299990770794
161,0,0,153.61127047851159
162,0,0,152.27630992859295
163,0,0,153.41840485826037
164,1,1,154.61307809784435
165,1,1,154.61498493135136
166,0,0,152.19917498598792
167,1,1,154.61484001459857
168,1,1,154.55785132903387
169,0,0,152.27630992859295
170,1,1,154.61307809784435
171,0,0,153.65617223608777
172,1,1,154.5596867405247
173,1,1,154.55785132903387
174,1,1,154.61307809784435
175,1,1,154.55785132903387
176,1,1,154.5595391977079
177,0,0,153.62389931244536
178,1,1,154.61307809784435
179,0,0,153.4183308101802
180,0,0,153.8617291060385
181,0,0,151.99371832332244
182,0,0,152.19917498598792
183,0,0,153.62209960417164
184,1,1,154.61487917573103
185,1,1,154.55785132903387
186,0,0,152.07085326592747
187,1,1,154.61307809784435
188,0,0,153.41664294150618
189,1,1,154.61307809784435
190,1,1,154.61307809784435
191,0,0,153.41820783479352
192,1,1,154.61307809784435
193,1,1,154.55963260569342
194,1,1,154.55785132903387
195,0,0,152.94020203635264
196,0,0,152.19917498598792
197,1,1,154.61491369504998
198,1,1,154.55963260569342
199,1,1,154.55968692623944
200,0,0,153.41664294150618
201,1,1,154.55785132903387
202,0,0,152.19917498598792
203,1,1,154.55963260569342
204,1,1,154.5596867405247
205,1,1,154.61307809784435
206,0,0,153.41844401939287
207,1,1,154.61307809784435
208,0,0,153.8474430377572
209,1,1,154.55785132903387
210,1,1,154.61307809784435
211,0,0,153.6238587293574
212,1,1,154.61307809784435
213,1,1,154.61485937450394
214,1,1,154.61485937450394
215,0,0,153.62378747284566
216,1,1,154.61307809784435
217,1,1,154.55785132903387
218,0,0,153.4204565701001
219,1,1,154.55785132903387
220,0,0,153.84233979288175
221,0,0,151.99371832332244
222,1,1,154.5596699798667
223,1,1,154.55785132903387
224,1,1,154.61485937450394
225,1,1,154.61307809784435
226,1,1,154.55785132903387
227,1,1,154.55785132903387
228,0,0,153.83964383656993
229,0,0,153.62347430880416
230,0,0,151.99371832332244
231,0,0,154.05592108756645
232,1,0,153.6120012310504
233,1,1,154.61307809784435
234,1,1,154.55785132903387
235,1,1,154.61307809784435
236,0,0,152.27630992859295
237,1,1,154.5596510373076
238,1,1,154.55785132903387
239,1,1,154.61307809784435
240,1,1,154.61484001459857
241,1,1,154.55785132903387
242,1,1,154.55963260569342
243,0,0,153.61330931352748
244,0,0,151.99371832332244
245,0,0,152.19917498598792
246,1,1,154.55785132903387
247,1,1,154.5595391977079
248,0,0,153.4183308101802
249,1,1,154.61307809784435
250,0,0,151.99371832332244
251,1,1,154.55785132903387
252,1,1,154.6149135093352
253,1,1,154.55785132903387
254,1,0,153.6120012310504
255,1,1,154.55961324578806
256,1,1,154.61485937450394
257,1,1,154.61307809784435
258,1,1,154.55963260569342
259,1,1,154.55785132903387
260,1,1,154.55961324578806
261,1,1,154.55968692623944
262,1,1,154.5596867405247
263,0,0,153.65617223608777
264,1,1,154.55785132903387
265,1,1,154.55785132903387
266,1,1,154.61307809784435
267,1,1,154.61307809784435
268,0,0,151.99373579098926
269,1,0,153.8188325983484
270,0,0,153.83964383656993
271,0,0,153.62409303894816
272,1,1,154.61307809784435
273,1,1,154.55785132903387
274,1,1,154.55785132903387
275,0,0,152.19917498598792
276,1,1,154.61485937450394
277,1,1,154.61485937450394
278,0,0,152.19917498598792
279,1,1,154.55785132903387
280,0,0,152.19917498598792
281,0,0,151.99371832332244
282,1,1,154.55785132903387
283,0,0,152.19917498598792
284,0,0,154.04395685393948
285,0,0,153.85893690534743
286,1,1,154.61307809784435
287,1,1,154.55963260569342
288,1,1,154.61485937450394
289,1,1,154.6149135093352
290,0,0,151.99371832332244
291,0,0,151.99371832332244
292,0,0,153.41840485826037
293,1,1,154.61307809784435
294,1,1,154.61307809784435
295,1,1,154.55785132903387
296,0,0,153.73766333736117
297,1,1,154.61487780611807
298,1,1,154.55785132903387
299,0,0,152.19917498598792
300,1,1,154.61307809784435
301,1,1,154.55963260569342
302,0,0,153.62209960417164
303,1,1,154.61307809784435
304,1,1,154.61491369504998
305,0,1,154.06987406805106
306,0,0,151.99371832332244
307,1,1,154.61485937450394
308,1,1,154.55785132903387
309,1,1,154.55961324578806
310,1,1,154.55785132903387
311,1,1,154.61307809784435
312,1,1,154.61485937450394
313,0,0,151.99371832332244
314,0,0,152.19917498598792
315,0,0,152.19919263847015
316,1,1,154.61307809784435
317,0,0,153.73696237186354
318,1,1,154.61307809784435
319,0,0,153.62209960417164
320,1,1,154.6149135093352
321,1,1,154.55792275105
322,1,1,154.61307809784435
323,0,0,152.19917498598792
324,1,1,154.61307809784435
325,1,1,154.61487917573103
326,1,0,153.8188325983484
327,0,0,153.81682729100982
328,1,1,154.55785132903387
329,1,1,154.61485937450394
330,1,1,154.61485937450394
331,1,1,154.55785132903387
332,1,1,154.61307809784435
333,0,0,152.19917498598792
334,0,0,153.73696237186354
335,1,1,154.55785132903387
336,0,0,153.62386152092583
337,1,1,154.61307809784435
338,1,1,154.6149492281342
339,1,1,154.55785132903387
340,0,0,153.4183308101802
341,1,1,154.55785132903387
342,0,0,153.61327572839764
343,0,0,153.8188531379217
344,0,0,153.41664294150618
345,1,1,154.55785132903387
346,1,1,154.55785132903387
347,0,0,153.84111170765968
348,1,1,154.61307809784435
349,1,1,154.61307809784435
350,1,1,154.55785132903387
351,0,0,153.8383999839887
352,1,1,154.61485937450394
353,0,0,153.62594258686744
354,0,0,152.07085326592747
355,0,0,152.19919245365472
356,1,1,154.61491369504998
357,0,1,154.07053331003704
358,0,0,152.19917498598792
359,0,0,153.41849547467746
360,1,1,154.61307809784435
361,1,1,154.61307809784435
362,1,1,154.55785132903387
363,1,1,154.55785132903387
364,0,0,152.07085326592747
365,1,1,154.6149135093352
366,1,1,154.55785132903387
367,0,0,153.62209960417164
368,1,1,154.61307809784435
369,0,0,154.0472090261999
370,0,0,152.19917498598792
371,1,1,154.61307809784435
372,1,1,154.61487917573103
373,1,0,153.62209960417164
374,1,1,154.61485937450394
375,1,1,154.61485937450394
376,0,0,153.41842421816574
377,1,1,154.55785132903387
378,1,1,154.61485937450394
379,1,1,154.61485937450394
380,1,1,154.61307809784435
381,0,0,153.4183308101802
382,1,1,154.55785132903387
383,0,0,153.86173195036716
384,1,1,154.61485937450394
385,1,1,154.55785132903387
386,1,1,154.55961324578806
387,1,1,154.55785132903387
388,1,1,154.61485937450394
